MI_dir_L5_weight,MI_dir_L5_mean,MI_dir_L5_variance,MI_dir_L3_weight,MI_dir_L3_mean,MI_dir_L3_variance,MI_dir_L1_weight,MI_dir_L1_mean,MI_dir_L1_variance,MI_dir_L0.1_weight,MI_dir_L0.1_mean,MI_dir_L0.1_variance,MI_dir_L0.01_weight,MI_dir_L0.01_mean,MI_dir_L0.01_variance,H_L5_weight,H_L5_mean,H_L5_variance,H_L3_weight,H_L3_mean,H_L3_variance,H_L1_weight,H_L1_mean,H_L1_variance,H_L0.1_weight,H_L0.1_mean,H_L0.1_variance,H_L0.01_weight,H_L0.01_mean,H_L0.01_variance,HH_L5_weight,HH_L5_mean,HH_L5_std,HH_L5_magnitude,HH_L5_radius,HH_L5_covariance,HH_L5_pcc,HH_L3_weight,HH_L3_mean,HH_L3_std,HH_L3_magnitude,HH_L3_radius,HH_L3_covariance,HH_L3_pcc,HH_L1_weight,HH_L1_mean,HH_L1_std,HH_L1_magnitude,HH_L1_radius,HH_L1_covariance,HH_L1_pcc,HH_L0.1_weight,HH_L0.1_mean,HH_L0.1_std,HH_L0.1_magnitude,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_L0.01_weight,HH_L0.01_mean,HH_L0.01_std,HH_L0.01_magnitude,HH_L0.01_radius,HH_L0.01_covariance,HH_L0.01_pcc,HH_jit_L5_weight,HH_jit_L5_mean,HH_jit_L5_variance,HH_jit_L3_weight,HH_jit_L3_mean,HH_jit_L3_variance,HH_jit_L1_weight,HH_jit_L1_mean,HH_jit_L1_variance,HH_jit_L0.1_weight,HH_jit_L0.1_mean,HH_jit_L0.1_variance,HH_jit_L0.01_weight,HH_jit_L0.01_mean,HH_jit_L0.01_variance,HpHp_L5_weight,HpHp_L5_mean,HpHp_L5_std,HpHp_L5_magnitude,HpHp_L5_radius,HpHp_L5_covariance,HpHp_L5_pcc,HpHp_L3_weight,HpHp_L3_mean,HpHp_L3_std,HpHp_L3_magnitude,HpHp_L3_radius,HpHp_L3_covariance,HpHp_L3_pcc,HpHp_L1_weight,HpHp_L1_mean,HpHp_L1_std,HpHp_L1_magnitude,HpHp_L1_radius,HpHp_L1_covariance,HpHp_L1_pcc,HpHp_L0.1_weight,HpHp_L0.1_mean,HpHp_L0.1_std,HpHp_L0.1_magnitude,HpHp_L0.1_radius,HpHp_L0.1_covariance,HpHp_L0.1_pcc,HpHp_L0.01_weight,HpHp_L0.01_mean,HpHp_L0.01_std,HpHp_L0.01_magnitude,HpHp_L0.01_radius,HpHp_L0.01_covariance,HpHp_L0.01_pcc
1.000000003,97.99999987,5e-06,1.000008391,97.99968119,0.012115001,1.023526152,97.25812236,28.167237,4.590227557,92.96790302,259.9592813,31.86579712,92.29374722,284.8405723,1.000000003,97.99999987,5e-06,1.000008391,97.99968119,0.012115001,1.023526152,97.25812236,28.167237,4.590227557,92.96790302,259.9592813,31.86579712,92.29374722,284.8405723,1.000000003,97.99999987,0.002236587,114.9086593,5e-06,3.37e-50,0.0,1.00000839,97.99968118,0.110068069,114.9083875,0.01211498,5.0200000000000004e-29,0.0,1.0203199,97.24322149,5.308942413,114.263924,28.18486955,1.91e-08,4.55e-07,2.02020297,81.47761633,18.83776572,104.4066636,394.742872,9.074044632,0.036632854,12.11850892,76.85470152,18.76617603,107.7568044,518.034685,134.1499615,0.366750397,1.000000003,5.620965052,6.59e-07,1.00000839,5.621080751,0.001596823,1.0203199,5.895713407,3.714920081,2.02020297,11.5622193,55.46647021,12.11850892,12.7794634,103.2386042,1.0,98.0,0.0,138.5929291,0.0,0.0,0.0,1.0,98.0,0.0,138.5929291,0.0,0.0,0.0,1.000000001,98.0,0.0,138.5929291,0.0,-1.42e-91,0.0,1.141819587,98.0,0.0,138.5929291,0.0,3.39e-38,0.0,5.307678867,98.0,2.34e-06,138.5929291,5.75e-12,-7.79e-29,-2.47e-17
4.036995824,101.9581395,0.165689643,4.146636852,101.8555074,0.557092198,4.53002927,101.5310575,1.655868233,5.698674769,99.26765905,78.71081195,30.61442867,94.07523088,243.8462636,4.036995824,101.9581395,0.165689643,4.146636852,101.8555074,0.557092198,4.53002927,101.5310575,1.655868233,5.698674769,99.26765905,78.71081195,30.61442867,94.07523088,243.8462636,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,5.36e-110,0.0,1.071710755,102.0,1.91e-06,144.2497834,3.64e-12,-1.5400000000000002e-37,0.0,4.220010232,102.0,0.0,144.2497834,0.0,8.08e-30,0.0,1.0,39.01526117,0.0,1.0,39.01526117,0.0,1.0,39.01526117,0.0,1.071710755,39.01582294,4.41e-06,4.220010232,39.01814323,0.005999662,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,5.36e-110,0.0,1.071710755,102.0,1.91e-06,144.2497834,3.64e-12,-1.5400000000000002e-37,0.0,4.220010232,102.0,0.0,144.2497834,0.0,8.08e-30,0.0
5.237079254,101.2362155,2.471771257,5.527165274,101.2763017,2.371053918,5.837135519,101.3147322,2.271486902,6.761602551,99.58968666,69.76304467,31.79272009,94.21216604,240.9763192,5.237079254,101.2362155,2.471771257,5.527165274,101.2763017,2.371053918,5.837135519,101.3147322,2.271486902,6.761602551,99.58968666,69.76304467,31.79272009,94.21216604,240.9763192,1.0,98.0,0.0,114.90866,4.19e-05,3.57e-50,0.0,1.0,98.0,0.0,114.9092551,0.043350576,5.21e-29,0.0,1.000000029,97.99999895,0.006331306,115.509695,42.13438556,7.56e-08,1.84e-06,1.420812275,90.52939185,15.10209004,116.1580258,394.8575188,16.47752217,0.060772356,10.69564688,78.8622124,18.99611341,110.1540227,508.0083362,67.13417001,0.186894635,1.0,25.10533094,0.0,1.0,25.10533094,0.0,1.000000029,25.10533037,1.16e-05,1.420812275,20.61303505,72.09967841,10.69564688,14.46391517,87.70181964,1.0,98.0,0.0,138.5929291,0.0,0.0,0.0,1.0,98.0,0.0,138.5929291,0.0,0.0,0.0,1.000000001,98.0,0.0,138.5929291,0.0,5.42e-155,0.0,1.141487755,98.0,0.0,138.5929291,0.0,-2.92e-57,0.0,5.307230056,98.0,1.35e-06,138.5929291,2.57e-12,2.0600000000000002e-29,1.13e-17
1.0,98.0,0.0,1.0,98.0,0.0,1.000000029,97.99999893,4.08e-05,1.448601452,90.65538358,227.996277,24.30420384,89.57743485,334.1769888,1.0,98.0,0.0,1.0,98.0,0.0,1.000000029,97.99999893,4.08e-05,1.448601452,90.65538358,227.996277,24.30420384,89.57743485,334.1769888,1.0,98.0,0.0,114.9086599,4.13e-05,3.26e-50,0.0,1.0,98.0,0.0,114.9092502,0.042993201,4.9800000000000004e-29,0.0,1.000000029,97.99999893,0.006386551,115.5077406,42.00250591,7.85e-08,1.9e-06,1.4240766,90.46001134,15.15480584,116.0468287,394.8512175,16.69186121,0.061457731,11.99038963,76.8246152,18.8736293,107.2984236,495.6432972,98.30377647,0.28056564,1.0,25.08104706,0.0,1.0,25.08104706,0.0,1.000000029,25.08104648,1.17e-05,1.4240766,20.59075171,73.33890327,11.99038963,12.88506797,93.50659577,1.0,98.0,0.0,138.5929291,0.0,0.0,0.0,1.0,98.0,0.0,138.5929291,0.0,0.0,0.0,1.000000001,98.0,0.0,138.5929291,0.0,7.51e-128,0.0,1.141510247,98.0,0.0,138.5929291,1.82e-12,-2.83e-76,0.0,5.307932282,98.0,2.7e-06,138.5929291,7.5e-12,4.5699999999999995e-30,1.26e-18
2.007180679,101.9748007,0.100162007,2.069353322,101.8595978,0.541895914,2.416141791,101.3092506,2.285870366,3.703009378,97.86897041,113.5215711,29.37955456,92.46392921,295.1171306,2.007180679,101.9748007,0.100162007,2.069353322,101.8595978,0.541895914,2.416141791,101.3092506,2.285870366,3.703009378,97.86897041,113.5215711,29.37955456,92.46392921,295.1171306,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,1.35e-06,144.2497834,2.57e-12,7.55e-100,4.15e-88,1.075349416,102.0,0.0,144.2497834,0.0,-4.4700000000000005e-35,0.0,4.17008864,101.9883713,0.698762046,144.234311,0.566353156,0.019936414,0.053260104,1.0,38.25098395,0.0,1.0,38.25098395,0.0,1.0,38.25098395,6.82e-12,1.075349416,38.35562085,0.147741241,4.17008864,416916.3577,628000000000000.0,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,1.35e-06,144.2497834,2.57e-12,7.55e-100,4.15e-88,1.075349416,102.0,0.0,144.2497834,0.0,-4.4700000000000005e-35,0.0,4.17008864,101.9883713,0.698762046,144.234311,0.566353156,0.019936414,0.053260104
1.0,102.0,0.0,1.0,102.0,0.0,1.00000066,101.9999974,1.06e-05,1.72039617,99.2644889,83.10633892,26.15725003,94.14703575,241.3991936,1.0,102.0,0.0,1.0,102.0,0.0,1.00000066,101.9999974,1.06e-05,1.72039617,99.2644889,83.10633892,26.15725003,94.14703575,241.3991936,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,1.35e-06,144.2497834,2.57e-12,-3.03e-76,-1.67e-64,1.071824507,102.0,1.35e-06,144.2497834,1.82e-12,-3.77e-41,0.0,4.220199358,102.0,1.91e-06,144.2497834,4.07e-12,-2.1e-28,-8.15e-17,1.0,38.99109602,0.0,1.0,38.99109602,0.0,1.0,38.99109602,2.27e-13,1.071824507,38.99449395,0.000195874,4.220199358,39.01620537,0.026236538,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,1.35e-06,144.2497834,2.57e-12,-3.03e-76,-1.67e-64,1.071824507,102.0,1.35e-06,144.2497834,1.82e-12,-3.77e-41,0.0,4.220199358,102.0,1.91e-06,144.2497834,4.07e-12,-2.1e-28,-8.15e-17
4.99319446,102.0,3.64e-12,4.995913348,102.0,3.64e-12,4.998636845,101.9999986,5.93e-05,5.863557657,99.48092655,95.05941227,31.09501734,93.86392357,254.0694065,4.99319446,102.0,3.64e-12,4.995913348,102.0,3.64e-12,4.998636845,101.9999986,5.93e-05,5.863557657,99.48092655,95.05941227,31.09501734,93.86392357,254.0694065,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,5.5499999999999996e-52,0.0,1.071718888,102.0,0.0,144.2497834,0.0,-9.62e-32,0.0,4.220301239,102.0,1.35e-06,144.2497834,2.57e-12,4.45e-29,2.45e-17,1.0,39.01722693,0.0,1.0,39.01722693,0.0,1.0,39.01722693,2.27e-13,1.071718888,39.0143021,0.000172367,4.220301239,39.01504288,0.002838633,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,5.5499999999999996e-52,0.0,1.071718888,102.0,0.0,144.2497834,0.0,-9.62e-32,0.0,4.220301239,102.0,1.35e-06,144.2497834,2.57e-12,4.45e-29,2.45e-17
1.999965296,102.0,3.64e-12,1.999979178,102.0,3.64e-12,1.999993405,101.9999993,3e-06,2.825836239,99.31362003,91.74248853,28.7784834,92.53457146,283.7898083,1.999965296,102.0,3.64e-12,1.999979178,102.0,3.64e-12,1.999993405,101.9999993,3e-06,2.825836239,99.31362003,91.74248853,28.7784834,92.53457146,283.7898083,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,-8.71e-75,0.0,1.082361548,102.0,0.0,144.2497834,1.82e-12,-4.22e-48,0.0,4.230706131,102.0,1.91e-06,144.2497834,4.07e-12,5.03e-29,1.95e-17,1.0,36.88372397,0.0,1.0,36.88372397,0.0,1.0,36.88372397,1.45e-10,1.082361548,37.20004716,1.233953326,4.230706131,38.91156239,1.924074939,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,-8.71e-75,0.0,1.082361548,102.0,0.0,144.2497834,1.82e-12,-4.22e-48,0.0,4.230706131,102.0,1.91e-06,144.2497834,4.07e-12,5.03e-29,1.95e-17
1.000000029,60.00000111,4.21e-05,1.000030111,60.00114418,0.043477667,1.031110602,61.14653351,42.25373455,2.393667356,82.64366429,387.0493377,27.39567162,93.01688381,264.442772,1.000000029,60.00000111,4.21e-05,1.000030111,60.00114418,0.043477667,1.031110602,61.14653351,42.25373455,2.393667356,82.64366429,387.0493377,27.39567162,93.01688381,264.442772,1.000000029,60.00000111,0.00648716,114.90866,4.21e-05,1.07e-99,0.0,1.000030111,60.00114418,0.20851299,114.9092568,0.043477667,9.23e-59,0.0,1.031110601,61.14653348,6.500287172,115.511465,42.25373331,5.95e-18,0.0,1.833355035,76.72795611,18.86366392,123.522632,358.5579725,-4.023267025,-0.032123262,10.44983279,78.8744779,18.87393374,113.4398683,528.1743413,98.1659259,0.263382127,1.000000029,5.006450669,1.83e-05,1.000030111,5.007205019,0.018934841,1.031110601,5.763081509,18.40180908,1.833355035,15.75187022,149.4836756,10.44983279,27.87593431,19510755293.0,1.0,60.0,0.0,84.85281374,4.55e-13,2.5299999999999997e-119,0.0,1.0,60.0,0.0,84.85281374,4.55e-13,-4.4e-83,0.0,1.0,60.0,0.0,84.85281374,9.09e-13,7.83e-47,0.0,1.026294968,60.0,6.74e-07,84.85281374,6.43e-13,1.88e-30,4.13e-18,5.186730433,60.0,9.54e-07,84.85281374,1.29e-12,2.72e-29,2.99e-17
1.00000003,60.00000113,4.28e-05,1.000030426,60.00115609,0.043930116,1.032468847,61.15158792,42.44460345,3.308843469,79.68505173,402.1864746,30.02622407,91.34358317,809.682694,1.00000003,60.00000113,4.28e-05,1.000030426,60.00115609,0.043930116,1.032468847,61.15158792,42.44460345,3.308843469,79.68505173,402.1864746,30.02622407,91.34358317,809.682694,1.00000003,60.00000113,0.006543371,114.9086577,0.000110265,-1.8e-19,-2.73e-15,1.000030426,60.00115609,0.209595123,114.907607,0.085870204,-1.37e-10,-2.41e-09,1.032404827,61.14905486,6.50720813,114.3615262,65.3829626,-0.088281841,-0.001922113,2.488412387,72.32779967,17.78993376,108.3166006,478.0907703,-8.438135161,-0.025056613,13.66446733,76.07466194,28.19187264,109.7481792,2177.123684,53.19296289,0.041909998,1.00000003,5.001471034,2.39e-09,1.000030426,5.001462426,2.85e-06,1.032404827,5.010546339,0.273855912,2.488412387,8.601710598,41.79601966,13.66446733,11.21685194,73.81598662,1.0,60.0,9.54e-07,84.85281374,9.09e-13,1.08e-105,0.0,1.000000002,60.0,6.74e-07,84.85281374,4.55e-13,-3.59e-301,0.0,1.001186674,60.0,6.74e-07,84.85281374,4.55e-13,-5.58e-92,0.0,1.68113214,60.0,6.74e-07,84.85281374,6.43e-13,9.180000000000001e-32,2.02e-19,8.373489322,60.0,9.54e-07,84.85281374,9.09e-13,5.470000000000001e-29,0.0
