MI_dir_L5_weight,MI_dir_L5_mean,MI_dir_L5_variance,MI_dir_L3_weight,MI_dir_L3_mean,MI_dir_L3_variance,MI_dir_L1_weight,MI_dir_L1_mean,MI_dir_L1_variance,MI_dir_L0.1_weight,MI_dir_L0.1_mean,MI_dir_L0.1_variance,MI_dir_L0.01_weight,MI_dir_L0.01_mean,MI_dir_L0.01_variance,H_L5_weight,H_L5_mean,H_L5_variance,H_L3_weight,H_L3_mean,H_L3_variance,H_L1_weight,H_L1_mean,H_L1_variance,H_L0.1_weight,H_L0.1_mean,H_L0.1_variance,H_L0.01_weight,H_L0.01_mean,H_L0.01_variance,HH_L5_weight,HH_L5_mean,HH_L5_std,HH_L5_magnitude,HH_L5_radius,HH_L5_covariance,HH_L5_pcc,HH_L3_weight,HH_L3_mean,HH_L3_std,HH_L3_magnitude,HH_L3_radius,HH_L3_covariance,HH_L3_pcc,HH_L1_weight,HH_L1_mean,HH_L1_std,HH_L1_magnitude,HH_L1_radius,HH_L1_covariance,HH_L1_pcc,HH_L0.1_weight,HH_L0.1_mean,HH_L0.1_std,HH_L0.1_magnitude,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_L0.01_weight,HH_L0.01_mean,HH_L0.01_std,HH_L0.01_magnitude,HH_L0.01_radius,HH_L0.01_covariance,HH_L0.01_pcc,HH_jit_L5_weight,HH_jit_L5_mean,HH_jit_L5_variance,HH_jit_L3_weight,HH_jit_L3_mean,HH_jit_L3_variance,HH_jit_L1_weight,HH_jit_L1_mean,HH_jit_L1_variance,HH_jit_L0.1_weight,HH_jit_L0.1_mean,HH_jit_L0.1_variance,HH_jit_L0.01_weight,HH_jit_L0.01_mean,HH_jit_L0.01_variance,HpHp_L5_weight,HpHp_L5_mean,HpHp_L5_std,HpHp_L5_magnitude,HpHp_L5_radius,HpHp_L5_covariance,HpHp_L5_pcc,HpHp_L3_weight,HpHp_L3_mean,HpHp_L3_std,HpHp_L3_magnitude,HpHp_L3_radius,HpHp_L3_covariance,HpHp_L3_pcc,HpHp_L1_weight,HpHp_L1_mean,HpHp_L1_std,HpHp_L1_magnitude,HpHp_L1_radius,HpHp_L1_covariance,HpHp_L1_pcc,HpHp_L0.1_weight,HpHp_L0.1_mean,HpHp_L0.1_std,HpHp_L0.1_magnitude,HpHp_L0.1_radius,HpHp_L0.1_covariance,HpHp_L0.1_pcc,HpHp_L0.01_weight,HpHp_L0.01_mean,HpHp_L0.01_std,HpHp_L0.01_magnitude,HpHp_L0.01_radius,HpHp_L0.01_covariance,HpHp_L0.01_pcc
1.99994464,330.0,0.0,1.999966783,330.0,2.91e-11,1.999990157,329.9998418,0.042714074,2.736413648,299.5241947,7299.692726,18.46968701,243.4662298,15876.02456,1.99994464,330.0,0.0,1.999966783,330.0,2.91e-11,1.999990157,329.9998418,0.042714074,2.736413648,299.5241947,7299.692726,18.46968701,243.4662298,15876.02456,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.000000029,330.0,0.0,431.4904402,1.46e-11,3.7200000000000005e-259,0.0,1.213773543,330.0,3.81e-06,431.4904402,1.46e-11,5.34e-34,0.0,6.275122585,330.0,1.01e-05,431.4904402,1.02e-10,-3.17e-21,0.0,1.0,25.05854917,0.0,1.0,25.05854917,0.0,1.000000029,25.05854916,4.35e-11,1.213773543,25.05344836,0.000222865,6.275122585,25.04393226,0.008659787,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.000000029,330.0,0.0,431.4904402,1.46e-11,3.7200000000000005e-259,0.0,1.213773543,330.0,3.81e-06,431.4904402,1.46e-11,5.34e-34,0.0,6.275122585,330.0,1.01e-05,431.4904402,1.02e-10,-3.17e-21,0.0
1.000000019,60.00000506,0.001367303,1.0000305,60.00823464,2.223286248,1.049596572,72.75830025,3281.966841,2.940727857,214.017222,17863.34527,19.87114189,224.4370322,17358.46114,1.000000019,60.00000506,0.001367303,1.0000305,60.00823464,2.223286248,1.049596572,72.75830025,3281.966841,2.940727857,214.017222,17863.34527,19.87114189,224.4370322,17358.46114,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.000000023,60.0,0.0,84.85281374,4.55e-13,8.219999999999999e-67,0.0,1.209062382,60.0,6.74e-07,84.85281374,4.55e-13,-1.04e-33,0.0,6.476826247,60.0,6.74e-07,84.85281374,6.43e-13,1.07e-19,2.36e-07,1.0,25.383425,0.0,1.0,25.383425,0.0,1.000000023,25.38342499,3.18e-09,1.209062382,25.31952168,0.019686361,6.476826247,24.26150489,18.29824494,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.000000023,60.0,0.0,84.85281374,4.55e-13,8.219999999999999e-67,0.0,1.209062382,60.0,6.74e-07,84.85281374,4.55e-13,-1.04e-33,0.0,6.476826247,60.0,6.74e-07,84.85281374,6.43e-13,-1.58e-30,-3.47e-18
1.997487092,330.0,1.46e-11,1.998491496,330.0,4.37e-11,1.999497904,329.999874,0.034027756,2.733540197,299.8032669,7241.275243,18.94466942,238.8144485,16305.2941,1.997487092,330.0,1.46e-11,1.998491496,330.0,4.37e-11,1.999497904,329.999874,0.034027756,2.733540197,299.8032669,7241.275243,18.94466942,238.8144485,16305.2941,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.000000029,330.0,0.0,431.4904402,0.0,-6.86e-104,0.0,1.213937016,330.0,0.0,431.4904402,2.91e-11,-1.56e-28,0.0,6.273304142,330.0,9.34e-06,431.4904402,8.73e-11,-1.7699999999999999e-28,0.0,1.0,25.03921413,0.0,1.0,25.03921413,0.0,1.000000029,25.03921414,5.15e-11,1.213937016,25.04436613,0.000309432,6.273304142,25.05185242,0.0064298,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.000000029,330.0,0.0,431.4904402,0.0,-6.86e-104,0.0,1.213937016,330.0,0.0,431.4904402,2.91e-11,-1.56e-28,0.0,6.273304142,330.0,9.34e-06,431.4904402,8.73e-11,-1.7699999999999999e-28,0.0
1.00000001,60.0000028,0.000757028,1.000021392,60.0057756,1.559378814,1.044065744,71.39558994,2946.949814,2.86923711,216.1695323,17776.8509,20.12225287,224.8388897,17760.60526,1.00000001,60.0000028,0.000757028,1.000021392,60.0057756,1.559378814,1.044065744,71.39558994,2946.949814,2.86923711,216.1695323,17776.8509,20.12225287,224.8388897,17760.60526,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.000000021,60.0,6.74e-07,84.85281374,4.55e-13,-1.7899999999999998e-119,0.0,1.209183807,60.0,9.54e-07,84.85281374,1.02e-12,2.1300000000000003e-31,3.31e-19,6.29982088,60.0,9.87e-05,84.85281375,1.56e-07,4.06e-18,1.04e-10,1.0,25.49413705,0.0,1.0,25.49413705,0.0,1.000000021,25.49413702,3.41e-08,1.209183807,25.31904147,0.201753234,6.29982088,24.95366942,4.848114523,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.000000021,60.0,6.74e-07,84.85281374,4.55e-13,-1.7899999999999998e-119,0.0,1.209183807,60.0,9.54e-07,84.85281374,1.02e-12,2.1300000000000003e-31,3.31e-19,6.29982088,60.0,6.74e-07,84.85281374,1.02e-12,1.2e-30,1.87e-18
1.999920679,330.0,0.0,1.999952406,330.0,1.46e-11,1.999985093,329.9998782,0.032883608,2.747302596,298.4710863,7518.734307,19.49528619,234.1826315,16634.12802,1.999920679,330.0,0.0,1.999952406,330.0,1.46e-11,1.999985093,329.9998782,0.032883608,2.747302596,298.4710863,7518.734307,19.49528619,234.1826315,16634.12802,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.000000028,330.0,6.61e-06,431.4904402,5.25e-11,2.49e-34,6.98e-24,1.213247597,330.0,3.81e-06,431.4904402,1.46e-11,-1.78e-32,0.0,6.280225551,330.0,3.81e-06,431.4904402,1.46e-11,3.59e-27,0.0,1.0,25.09134889,0.0,1.0,25.09134889,0.0,1.000000028,25.09134889,5.41e-11,1.213247597,25.08273935,0.000381413,6.280225551,25.02173582,0.015619516,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.000000028,330.0,6.61e-06,431.4904402,5.25e-11,2.49e-34,6.98e-24,1.213247597,330.0,3.81e-06,431.4904402,1.46e-11,-1.78e-32,0.0,6.280225551,330.0,3.81e-06,431.4904402,1.46e-11,3.59e-27,0.0
1.000000059,60.00001596,0.004308626,1.000060727,60.01639518,4.426429866,1.062394533,75.8571164,4029.973286,2.940125585,217.5399067,17716.95261,19.47489888,228.1270849,17121.64776,1.000000059,60.00001596,0.004308626,1.000060727,60.01639518,4.426429866,1.062394533,75.8571164,4029.973286,2.940125585,217.5399067,17716.95261,19.47489888,228.1270849,17121.64776,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.000000038,60.0,6.74e-07,84.85281374,6.43e-13,-1.61e-43,-3.5500000000000004e-31,1.218792271,60.0,9.54e-07,84.85281374,1.02e-12,7.29e-18,1.13e-05,6.293049508,60.02269463,0.542692536,84.94524876,5.611962396,1.062305321,0.82687064,1.0,24.64970398,0.0,1.0,24.64970398,0.0,1.000000038,24.64970401,2.72e-08,1.218792271,24.78133168,0.092001915,6.293049508,24.97078853,1.30846118,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.000000038,60.0,6.74e-07,84.85281374,6.43e-13,-1.61e-43,-3.5500000000000004e-31,1.218792271,60.0,9.54e-07,84.85281374,1.02e-12,-2.53e-29,-3.94e-17,6.282063473,60.0,9.54e-07,84.85281374,1.02e-12,3.7600000000000003e-29,5.85e-17
1.000011196,60.00001551,0.004188207,1.00112652,60.01610164,4.347182893,1.164221328,74.38842601,3677.84822,3.73549299,184.0317361,18104.69719,20.57749211,219.1329547,17642.6005,1.000011196,60.00001551,0.004188207,1.00112652,60.01610164,4.347182893,1.164221328,74.38842601,3677.84822,3.73549299,184.0317361,18104.69719,20.57749211,219.1329547,17642.6005,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.000000045,60.0,6.74e-07,84.85281374,1.02e-12,-4.55e-36,-7.079999999999999e-24,1.223332958,60.0,9.54e-07,84.85281374,1.02e-12,-7.26e-32,-1.13e-19,6.780378989,60.0,0.0,84.85281374,1.82e-12,2.37e-18,0.0,1.0,24.40051985,0.0,1.0,24.40051985,0.0,1.000000045,24.4005199,6.93e-08,1.223332958,24.57251546,0.667093335,6.780378989,23.16759635,40.70768149,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.000000045,60.0,6.74e-07,84.85281374,1.02e-12,-4.55e-36,-7.079999999999999e-24,1.223332958,60.0,9.54e-07,84.85281374,1.02e-12,-7.26e-32,-1.13e-19,6.780378989,60.0,0.0,84.85281374,1.82e-12,-1.43e-29,0.0
1.0,330.0,0.0,1.0,330.0,0.0,1.000001013,329.9997424,0.069554878,1.750648838,280.3780352,10935.5911,17.99788075,233.3631727,16753.26694,1.0,330.0,0.0,1.0,330.0,0.0,1.000001013,329.9997424,0.069554878,1.750648838,280.3780352,10935.5911,17.99788075,233.3631727,16753.26694,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.00000003,330.0,3.81e-06,431.4904402,1.46e-11,4.2600000000000005e-109,0.0,1.214432925,330.0,6.61e-06,431.4904402,4.37e-11,-8.92e-40,0.0,6.278077991,330.0,8.53e-06,431.4904402,7.42e-11,1.9800000000000003e-27,6.09e-17,1.0,25.00808883,0.0,1.0,25.00808883,0.0,1.00000003,25.00808883,6.67e-11,1.214432925,25.01685742,0.000368839,6.278077991,25.03103198,0.001071862,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.00000003,330.0,3.81e-06,431.4904402,1.46e-11,4.2600000000000005e-109,0.0,1.214432925,330.0,6.61e-06,431.4904402,4.37e-11,-8.92e-40,0.0,6.278077991,330.0,8.53e-06,431.4904402,7.42e-11,1.9800000000000003e-27,6.09e-17
1.999941335,330.0,0.0,1.9999648,330.0,1.46e-11,1.999989478,329.9998441,0.042080513,2.73525409,299.5695235,7290.214764,18.44041952,243.7030431,15853.0136,1.999941335,330.0,0.0,1.9999648,330.0,1.46e-11,1.999989478,329.9998441,0.042080513,2.73525409,299.5695235,7290.214764,18.44041952,243.7030431,15853.0136,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.000000028,330.0,0.0,431.4904402,1.46e-11,2.055219870004e-311,0.0,1.213489748,330.0,0.0,431.4904402,0.0,1.71e-61,0.0,6.273293107,330.0,0.0,431.4904402,1.46e-11,-1.9e-28,0.0,1.0,25.07962894,0.0,1.0,25.07962894,0.0,1.000000028,25.07962894,1.42e-10,1.213489748,25.0692546,0.000645246,6.273293107,25.05189303,0.004261722,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.000000028,330.0,0.0,431.4904402,1.46e-11,2.055219870004e-311,0.0,1.213489748,330.0,0.0,431.4904402,0.0,1.71e-61,0.0,6.273293107,330.0,0.0,431.4904402,1.46e-11,-1.9e-28,0.0
1.000002296,329.9993802,0.167342862,1.000413551,329.8883874,30.12294246,1.074504439,311.2786416,4704.277502,2.504422634,213.9889367,17864.42028,18.92941853,224.8923961,17331.41043,1.000002296,329.9993802,0.167342862,1.000413551,329.8883874,30.12294246,1.074504439,311.2786416,4704.277502,2.504422634,213.9889367,17864.42028,18.92941853,224.8923961,17331.41043,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.000000029,330.0,5.39e-06,431.4904402,2.91e-11,1.96e-168,0.0,1.214163981,330.0,6.61e-06,431.4904402,4.37e-11,8.54e-57,0.0,6.280074767,330.0,3.81e-06,431.4904402,2.06e-11,2.4000000000000002e-29,1.65e-18,1.0,25.0305829,0.0,1.0,25.0305829,0.0,1.000000029,25.03058291,3.41e-12,1.214163981,25.0317559,2.23e-05,6.280074767,25.02238028,0.012294475,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.0,330.0,0.0,431.4904402,0.0,0.0,0.0,1.000000029,330.0,5.39e-06,431.4904402,2.91e-11,1.96e-168,0.0,1.214163981,330.0,6.61e-06,431.4904402,4.37e-11,8.54e-57,0.0,6.280074767,330.0,3.81e-06,431.4904402,2.06e-11,2.4000000000000002e-29,1.65e-18
